ToolName	SP	SP_NAME
ИСА-140.5,8 (659).xlsx	659.04.00.01.00	Индикатор
ИСА-140.5,8 (659).xlsx	659.04.02.00.00	Ручка регулятора тока сварки
ИСА-140.5,8 (659).xlsx	659.04.02.14.01	"Разъем быстрый""+"""
ИСА-140.5,8 (659).xlsx	659.04.02.15.01	"Разъем быстрый""-"""
ИСА-140.5,8 (659).xlsx	659.05.00.03.03	Корпус
ИСА-140.5,8 (659).xlsx	659.04.02.07.01	Мост диодный
ИСА-140.5,8 (659).xlsx	659.06.00.00.01	Трансформатор
ИСА-140.5,8 (659).xlsx	659.04.02.03.01	Радиатор 1
ИСА-140.5,8 (659).xlsx	659.04.02.12.02	Конденсатор
ИСА-140.5,8 (659).xlsx	659.04.02.11.01	Транзистор выпрямительный
ИСА-140.5,8 (659).xlsx	659.04.02.08.01	Пластина изоляционная
ИСА-140.5,8 (659).xlsx	659.04.03.07.00	Стойка
ИСА-140.5,8 (659).xlsx	659.04.02.05.01	IGBT-транзистор
ИСА-140.5,8 (659).xlsx	659.04.02.06.03	Радиатор 2
ИСА-140.5,8 (659).xlsx	659.04.02.07.02	Мост диодный
ИСА-140.5,8 (659).xlsx	659.04.02.01.01	Вентилятор 
ИСА-140.5,8 (659).xlsx	659.04.03.04.00	Втулка ввода кабеля
ИСА-140.5,8 (659).xlsx	00.10.01.06.14	Выключатель клавишный
ИСА-140.5,8 (659).xlsx	659.04.01.00.00	Плата основная SZ052S
ИСА-140.5,8 (659).xlsx	659.05.00.01.01	Ручка
ИСА-140.5,8 (659).xlsx	659.10.02.01.11	Шнур питания с вилкой
ИСА-140.5,8 (659).xlsx	659.04.00.03.01	Кабель обратный с зажимом
ИСА-140.5,8 (659).xlsx	659.04.00.04.01	Кабель сварочный с электрододержателем
ИСА-140.5,8 (659).xlsx	659.04.00.06.00	Молоток сварочный со щеткой
ИСА-140.5,8 (659).xlsx	659.05.00.00.00	Корпус комплект
ИСА-160.7,0 (660).xlsx	659.05.00.02.01	Ремень транспортировочный
ИСА-160.7,0 (660).xlsx	659.05.00.03.02	Кожух
ИСА-160.7,0 (660).xlsx	659.04.00.01.00	Индикатор
ИСА-160.7,0 (660).xlsx	659.04.02.00.00	Ручка регулятора тока сварки
ИСА-160.7,0 (660).xlsx	659.04.02.14.01	"Разъем быстрый""+"""
ИСА-160.7,0 (660).xlsx	659.04.02.15.01	"Разъем быстрый""-"""
ИСА-160.7,0 (660).xlsx	659.05.00.03.03	Корпус
ИСА-160.7,0 (660).xlsx	659.04.02.07.01	Мост диодный
ИСА-160.7,0 (660).xlsx	660.06.00.00.01	Трансформатор
ИСА-160.7,0 (660).xlsx	659.04.02.03.01	Радиатор 1
ИСА-160.7,0 (660).xlsx	660.04.02.12.02	Конденсатор
ИСА-160.7,0 (660).xlsx	660.04.02.11.01	Транзистор выпрямительный
ИСА-160.7,0 (660).xlsx	659.04.02.08.01	Пластина изоляционная
ИСА-160.7,0 (660).xlsx	659.04.03.07.00	Стойка
ИСА-160.7,0 (660).xlsx	660.04.02.05.01	IGBT-транзистор
ИСА-160.7,0 (660).xlsx	659.04.02.06.03	Радиатор 2
ИСА-160.7,0 (660).xlsx	660.04.02.07.02	Мост диодный
ИСА-160.7,0 (660).xlsx	659.04.02.01.01	Вентилятор 
ИСА-160.7,0 (660).xlsx	659.04.03.04.00	Втулка ввода кабеля
ИСА-160.7,0 (660).xlsx	00.10.01.06.14	Выключатель клавишный
ИСА-160.7,0 (660).xlsx	659.04.01.00.00	Плата основная SZ052S
ИСА-160.7,0 (660).xlsx	659.05.00.01.01	Ручка
ИСА-160.7,0 (660).xlsx	660.10.02.01.11	Шнур питания с вилкой
ИСА-160.7,0 (660).xlsx	660.04.00.03.01	Кабель обратный с зажимом
ИСА-160.7,0 (660).xlsx	660.04.00.04.01	Кабель сварочный с электрододержателем
ИСА-160.7,0 (660).xlsx	659.04.00.06.00	Молоток сварочный со щеткой
ИСА-160.7,0 (660).xlsx	659.05.00.00.00	Корпус комплект
ИСА-180.8.2 (661).xlsx	659.05.00.02.01	Ремень транспортировочный
ИСА-180.8.2 (661).xlsx	661.05.00.03.02	Кожух
ИСА-180.8.2 (661).xlsx	659.04.00.01.00	Индикатор
ИСА-180.8.2 (661).xlsx	661.04.02.00.00	Ручка регулятора тока сварки
ИСА-180.8.2 (661).xlsx	659.04.02.14.01	"Разъем быстрый""+"""
ИСА-180.8.2 (661).xlsx	659.04.02.15.01	"Разъем быстрый""-"""
ИСА-180.8.2 (661).xlsx	661.05.00.03.03	Корпус
ИСА-180.8.2 (661).xlsx	661.04.02.07.01	Мост диодный
ИСА-180.8.2 (661).xlsx	661.06.00.00.01	Трансформатор
ИСА-180.8.2 (661).xlsx	661.04.02.03.01	Радиатор 1
ИСА-180.8.2 (661).xlsx	661.04.02.12.02	Конденсатор
ИСА-180.8.2 (661).xlsx	660.04.02.11.01	Транзистор выпрямительный
ИСА-180.8.2 (661).xlsx	661.04.02.08.01	Пластина изоляционная
ИСА-180.8.2 (661).xlsx	659.04.03.07.00	Стойка
ИСА-180.8.2 (661).xlsx	661.04.02.05.01	IGBT-транзистор
ИСА-180.8.2 (661).xlsx	661.04.02.06.03	Радиатор 2
ИСА-180.8.2 (661).xlsx	660.04.02.07.02	Мост диодный
ИСА-180.8.2 (661).xlsx	661.04.02.01.01	Вентилятор 
ИСА-180.8.2 (661).xlsx	659.04.03.04.00	Втулка ввода кабеля
ИСА-180.8.2 (661).xlsx	00.10.01.06.08	Выключатель клавишный
ИСА-180.8.2 (661).xlsx	661.04.01.00.00	Плата основная SZ054T
ИСА-180.8.2 (661).xlsx	659.05.00.01.01	Ручка
ИСА-180.8.2 (661).xlsx	660.10.02.01.11	Шнур питания с вилкой
ИСА-180.8.2 (661).xlsx	661.04.00.03.01	Кабель обратный с зажимом
ИСА-180.8.2 (661).xlsx	661.04.00.04.01	Кабель сварочный с электрододержателем
ИСА-180.8.2 (661).xlsx	659.04.00.06.00	Молоток сварочный со щеткой
ИСА-180.8.2 (661).xlsx	661.05.00.00.00	Корпус комплект
ИСП-120.5,3 (662).xlsx	662.04.03.02.00	Крышка боковая
ИСП-120.5,3 (662).xlsx	662.04.03.03.00	Шарнир
ИСП-120.5,3 (662).xlsx	662.05.00.03.01	Кожух
ИСП-120.5,3 (662).xlsx	662.05.00.01.00	Ручка пластмассовая
ИСП-120.5,3 (662).xlsx	662.03.01.01.00	Фиксатор крышки боковой
ИСП-120.5,3 (662).xlsx	662.03.01.02.00	Вал крепления катушки
ИСП-120.5,3 (662).xlsx	662.03.01.03.00	Перегородка внутреняя
ИСП-120.5,3 (662).xlsx	662.03.01.00.00	Механизм протяжки проволоки
ИСП-120.5,3 (662).xlsx	662.03.02.00.00	Панель управления KM-015
ИСП-120.5,3 (662).xlsx	662.04.03.01.00	Панель нижняя 
ИСП-120.5,3 (662).xlsx	662.04.02.15.00	"Разъем байонетный ""-"""
ИСП-120.5,3 (662).xlsx	662.04.02.14.00	"Разъем байонетный ""+"""
ИСП-120.5,3 (662).xlsx	662.04.03.06.00	Гермоввод кабеля горелки (типа RG)
ИСП-120.5,3 (662).xlsx	662.03.02.04.00	Опора резиновая
ИСП-120.5,3 (662).xlsx	662.04.02.12.00	Конденсатор
ИСП-120.5,3 (662).xlsx	662.06.00.01.00	Трансформатор
ИСП-120.5,3 (662).xlsx	662.06.00.00.00	Трансформатор силовой
ИСП-120.5,3 (662).xlsx	662.04.02.03.00	Радиатор 1
ИСП-120.5,3 (662).xlsx	662.06.01.00.00	Транзистор выпрямительный
ИСП-120.5,3 (662).xlsx	662.04.02.04.00	Термостат
ИСП-120.5,3 (662).xlsx	662.04.03.07.00	Стойка
ИСП-120.5,3 (662).xlsx	662.04.02.05.00	IGBT Транзистор
ИСП-120.5,3 (662).xlsx	662.04.02.06.00	Радиатор 2
ИСП-120.5,3 (662).xlsx	662.04.02.07.00	Радиатор 3
ИСП-120.5,3 (662).xlsx	662.04.02.08.00	Мост диодный
ИСП-120.5,3 (662).xlsx	662.04.02.01.00	Вентилятор
ИСП-120.5,3 (662).xlsx	662.04.02.02.00	Решетка вентилятора
ИСП-120.5,3 (662).xlsx	00.10.01.06.07	Выключатель клавишный KCD-25A
ИСП-120.5,3 (662).xlsx	662.04.03.04.00	Втулка ввода кабеля
ИСП-120.5,3 (662).xlsx	659.05.00.02.01	Ремень транспортировочный
ИСП-120.5,3 (662).xlsx	662.04.01.00.00	Плата основная SM028S
ИСП-120.5,3 (662).xlsx	659.10.02.01.11	Шнур питания с вилкой
ИСП-120.5,3 (662).xlsx	662.04.00.03.01	Кабель обратный с зажимом
ИСП-120.5,3 (662).xlsx	662.04.00.04.01	Кабель сварочный с электрододержателем
ИСП-120.5,3 (662).xlsx	662.00.02.01.00	Наконечник токосъемный
ИСП-120.5,3 (662).xlsx	662.04.00.05.00	Кабель с горелкой MIG-MAG
ИСП-120.5,3 (662).xlsx	662.05.00.00.00	Корпус комплект
ИСП-160.6,0 (663).xlsx	663.04.03.02.00	Крышка боковая
ИСП-160.6,0 (663).xlsx	662.04.03.03.00	Шарнир
ИСП-160.6,0 (663).xlsx	663.05.00.03.01	Кожух
ИСП-160.6,0 (663).xlsx	662.05.00.01.00	Ручка пластмассовая
ИСП-160.6,0 (663).xlsx	662.03.01.01.00	Фиксатор крышки боковой
ИСП-160.6,0 (663).xlsx	663.04.00.05.00	Реле
ИСП-160.6,0 (663).xlsx	663.04.02.12.00	Конденсатор
ИСП-160.6,0 (663).xlsx	663.06.00.01.00	Трансформатор
ИСП-160.6,0 (663).xlsx	663.06.00.00.00	Трансформатор
ИСП-160.6,0 (663).xlsx	662.04.02.05.00	IGBT Транзистор
ИСП-160.6,0 (663).xlsx	663.04.02.08.00	Мост диодный
ИСП-160.6,0 (663).xlsx	663.04.02.03.00	Радиатор 1
ИСП-160.6,0 (663).xlsx	663.04.03.09.00	Пластина изоляционная
ИСП-160.6,0 (663).xlsx	663.04.03.07.00	Стойка
ИСП-160.6,0 (663).xlsx	663.04.02.01.00	Диод
ИСП-160.6,0 (663).xlsx	663.04.02.04.00	Термостат
ИСП-160.6,0 (663).xlsx	663.04.02.06.00	Радиатор 2
ИСП-160.6,0 (663).xlsx	663.03.02.00.00	Панель управления KM001
ИСП-160.6,0 (663).xlsx	663.04.03.01.00	Панель передняя
ИСП-160.6,0 (663).xlsx	662.04.02.15.00	"Разъем байонетный ""-"""
ИСП-160.6,0 (663).xlsx	663.04.03.04.00	Втулка ввода кабеля
ИСП-160.6,0 (663).xlsx	662.04.02.14.00	"Разъем байонетный ""+"""
ИСП-160.6,0 (663).xlsx	663.04.03.06.00	Гнездо кабеля пистолета полуавтоматической сварки
ИСП-160.6,0 (663).xlsx	662.03.02.04.00	Опора резиновая
ИСП-160.6,0 (663).xlsx	663.03.01.03.00	Перегородка внутреняя
ИСП-160.6,0 (663).xlsx	663.03.01.01.00	Набор муфт
ИСП-160.6,0 (663).xlsx	663.03.01.00.00	Механизм протяжки проволоки
ИСП-160.6,0 (663).xlsx	663.03.01.02.00	Вал крепления катушки
ИСП-160.6,0 (663).xlsx	662.04.02.01.00	Вентилятор 
ИСП-160.6,0 (663).xlsx	662.04.02.02.00	Решетка вентилятора
ИСП-160.6,0 (663).xlsx	663.00.02.05.00	Клапан электромагнитный
ИСП-160.6,0 (663).xlsx	00.10.01.06.07	Выключатель клавишный
ИСП-160.6,0 (663).xlsx	663.04.03.05.00	Втулка ввода кабеля
ИСП-160.6,0 (663).xlsx	663.04.03.03.00	Крышка задняя
ИСП-160.6,0 (663).xlsx	663.04.01.00.00	Плата основная SM001S
ИСП-160.6,0 (663).xlsx	663.10.02.01.11	Шнур питания с вилкой
ИСП-160.6,0 (663).xlsx	663.04.00.03.01	Кабель обратный с зажимом
ИСП-160.6,0 (663).xlsx	660.04.00.04.01	Кабель сварочный с электрододержателем
ИСП-160.6,0 (663).xlsx	663.03.01.04.01	Ролик протяжки проволоки
ИСП-160.6,0 (663).xlsx	663.03.01.04.02	Ролик протяжки проволоки
ИСП-160.6,0 (663).xlsx	662.00.02.01.00	Наконечник токосъемный
ИСП-160.6,0 (663).xlsx	663.00.02.01.02	Наконечник токосъемный
ИСП-160.6,0 (663).xlsx	663.04.00.06.00	Кабель с горелкой MIG-MAG
ИСП-160.6,0 (663).xlsx	663.05.00.00.00	Корпус комплект
Д-16.850ЭР (320).xlsx	00.02.04.01.29	Винт фиксирующий M6Lx20
Д-16.850ЭР (320).xlsx	00.20.20.08.00	Патрон сверлильный
Д-16.850ЭР (320).xlsx	320.05.00.00.00	Корпус редуктора в сборе
Д-16.850ЭР (320).xlsx	320.03.00.03.01	Шпиндель
Д-16.850ЭР (320).xlsx	00.02.99.01.21	Кольцо стопорное для отв.
Д-16.850ЭР (320).xlsx	328.03.00.48.00	Манжета
Д-16.850ЭР (320).xlsx	00.01.01.01.15	Подшипник шариковый 6202.2RZ 
Д-16.850ЭР (320).xlsx	320.05.00.01.00	Корпус редуктора
Д-16.850ЭР (320).xlsx	320.04.00.07.00	Штифт
Д-16.850ЭР (320).xlsx	00.01.02.01.26	Подшипник роликовый 
Д-16.850ЭР (320).xlsx	320.03.00.04.00	Втулка дистанционная
Д-16.850ЭР (320).xlsx	320.03.00.06.00	Колесо зубчатое
Д-16.850ЭР (320).xlsx	00.02.03.01.46	Винт саморез
Д-16.850ЭР (320).xlsx	100.03.02.07.00	Шайба
Д-16.850ЭР (320).xlsx	100.03.00.15.00	Подшипник упорный
Д-16.850ЭР (320).xlsx	320.03.00.03.00	Вал шестерня в сборе
Д-16.850ЭР (320).xlsx	320.03.01.02.00	Вал шестерня 
Д-16.850ЭР (320).xlsx	320.03.01.03.00	Колесо зубчатое
Д-16.850ЭР (320).xlsx	328.03.00.42.00	Прокладка уплотнительная
Д-16.850ЭР (320).xlsx	320.03.03.00.00	Промщит в сборе
Д-16.850ЭР (320).xlsx	00.01.02.01.03	Подшипник роликовый НК0810
Д-16.850ЭР (320).xlsx	00.01.01.01.63	Подшипник шариковый 606Z
Д-16.850ЭР (320).xlsx	320.03.03.01.00	Промщит
Д-16.850ЭР (320).xlsx	68.03.02.04.00	Кольцо уплотнительное
Д-16.850ЭР (320).xlsx	00.01.01.01.61	Подшипник шариковый 
Д-16.850ЭР (320).xlsx	66.03.00.14.00	Кольцо ограничительное
Д-16.850ЭР (320).xlsx	320.05.00.04.01	Дефлектор
Д-16.850ЭР (320).xlsx	320.04.02.00.00	Якорь с вентилятором в сборе
Д-16.850ЭР (320).xlsx	00.01.01.01.06	Подшипник шариковый
Д-16.850ЭР (320).xlsx	68.04.02.03.01	Втулка демпфирующая 
Д-16.850ЭР (320).xlsx	320.05.00.04.00	Диафрагма
Д-16.850ЭР (320).xlsx	00.02.03.01.11	Винт саморез
Д-16.850ЭР (320).xlsx	325.04.01.00.00	Статор
Д-16.850ЭР (320).xlsx	68.04.00.02.00	Колодка клеммная
Д-16.850ЭР (320).xlsx	320.05.00.05.00	Корпус двигателя
Д-16.850ЭР (320).xlsx	68.04.00.03.00	Полукольцо-контактор
Д-16.850ЭР (320).xlsx	68.04.04.00.00	Обойма щеткодержателя в сборе
Д-16.850ЭР (320).xlsx	328.04.03.01.00	Обойма щеткодержателя
Д-16.850ЭР (320).xlsx	68.04.03.01.01	Обойма щеткодержателей
Д-16.850ЭР (320).xlsx	68.04.03.03.00	Пружина спиральная
Д-16.850ЭР (320).xlsx	68.04.03.02.00	Щетка  электрическая
Д-16.850ЭР (320).xlsx	68.04.03.04.00	Пружина фиксатор
Д-16.850ЭР (320).xlsx	68.04.03.05.00	Упор переключателя реверса
Д-16.850ЭР (320).xlsx	00.10.01.01.29	Выключатель
Д-16.850ЭР (320).xlsx	00.10.05.01.05	Блок конденсаторный
Д-16.850ЭР (320).xlsx	68.04.00.05.00	Дроссель
Д-16.850ЭР (320).xlsx	320.04.00.05.00	Дроссель
Д-16.850ЭР (320).xlsx	68.04.00.04.00	Планка фиксации шнура
Д-16.850ЭР (320).xlsx	00.10.02.02.01	Шнур питания с вилкой
Д-16.850ЭР (320).xlsx	68.04.00.06.00	Трубка защитная шнура
Д-16.850ЭР (320).xlsx	320.05.00.06.00	Ручка-накладка
Д-16.850ЭР (320).xlsx	00.02.03.01.07	Винт саморез
Д-16.850ЭР (320).xlsx	68.02.01.00.00	Ручка боковая в сборе
Д-16.850ЭР (320).xlsx	68.02.00.01.04	Хомут
Д-16.850ЭР (320).xlsx	68.02.01.02.00	Винт специальный
Д-16.850ЭР (320).xlsx	68.02.01.05.00	Винт барашковый
Д-16.850ЭР (320).xlsx	68.02.01.03.00	Держатель
Д-16.850ЭР (320).xlsx	68.02.01.04.00	Прижим
Д-16.850ЭР (320).xlsx	68.02.01.07.00	Ручка
Д-16.850ЭР (320).xlsx	68.02.01.07.21	Заглушка
Д-16.850ЭР (320).xlsx	68.02.00.01.00	Ограничитель глубины бурения (сверления)
Д-16.850ЭР (320_438).xlsx	00.02.04.01.29	Винт фиксирующий M6Lx20
Д-16.850ЭР (320_438).xlsx	00.20.20.08.00	Патрон сверлильный
Д-16.850ЭР (320_438).xlsx	320.05.00.00.00	Корпус редуктора в сборе
Д-16.850ЭР (320_438).xlsx	320.03.00.03.01	Шпиндель
Д-16.850ЭР (320_438).xlsx	00.02.99.01.21	Кольцо стопорное для отв.
Д-16.850ЭР (320_438).xlsx	328.03.00.48.00	Манжета
Д-16.850ЭР (320_438).xlsx	00.01.01.01.15	Подшипник шариковый 6202.2RZ 
Д-16.850ЭР (320_438).xlsx	320.05.00.01.00	Корпус редуктора
Д-16.850ЭР (320_438).xlsx	320.04.00.07.00	Штифт
Д-16.850ЭР (320_438).xlsx	00.01.02.01.26	Подшипник роликовый 
Д-16.850ЭР (320_438).xlsx	320.03.00.04.00	Втулка дистанционная
Д-16.850ЭР (320_438).xlsx	320.03.00.06.00	Колесо зубчатое
Д-16.850ЭР (320_438).xlsx	00.02.03.01.46	Винт саморез
Д-16.850ЭР (320_438).xlsx	100.03.02.07.00	Шайба
Д-16.850ЭР (320_438).xlsx	100.03.00.15.00	Подшипник упорный
Д-16.850ЭР (320_438).xlsx	320.03.00.03.00	Вал шестерня в сборе
Д-16.850ЭР (320_438).xlsx	320.03.01.02.00	Вал шестерня 
Д-16.850ЭР (320_438).xlsx	320.03.01.03.00	Колесо зубчатое
Д-16.850ЭР (320_438).xlsx	328.03.00.42.00	Прокладка уплотнительная
Д-16.850ЭР (320_438).xlsx	320.03.03.00.00	Промщит в сборе
Д-16.850ЭР (320_438).xlsx	00.01.02.01.03	Подшипник роликовый НК0810
Д-16.850ЭР (320_438).xlsx	00.01.01.01.63	Подшипник шариковый 606Z
Д-16.850ЭР (320_438).xlsx	320.03.03.01.00	Промщит
Д-16.850ЭР (320_438).xlsx	68.03.02.04.00	Кольцо уплотнительное
Д-16.850ЭР (320_438).xlsx	00.01.01.01.61	Подшипник шариковый 
Д-16.850ЭР (320_438).xlsx	66.03.00.14.00	Кольцо ограничительное
Д-16.850ЭР (320_438).xlsx	320.05.00.04.01	Дефлектор
Д-16.850ЭР (320_438).xlsx	320.04.02.00.00	Якорь с вентилятором в сборе
Д-16.850ЭР (320_438).xlsx	00.01.01.01.06	Подшипник шариковый
Д-16.850ЭР (320_438).xlsx	68.04.02.03.01	Втулка демпфирующая 
Д-16.850ЭР (320_438).xlsx	320.05.00.04.00	Диафрагма
Д-16.850ЭР (320_438).xlsx	00.02.03.01.11	Винт саморез
Д-16.850ЭР (320_438).xlsx	325.04.01.00.00	Статор
Д-16.850ЭР (320_438).xlsx	68.04.00.02.00	Колодка клеммная
Д-16.850ЭР (320_438).xlsx	320.05.00.05.00	Корпус двигателя
Д-16.850ЭР (320_438).xlsx	68.04.00.03.00	Полукольцо-контактор
Д-16.850ЭР (320_438).xlsx	68.04.04.00.00	Обойма щеткодержателя в сборе
Д-16.850ЭР (320_438).xlsx	328.04.03.01.00	Обойма щеткодержателя
Д-16.850ЭР (320_438).xlsx	68.04.03.01.01	Обойма щеткодержателей
Д-16.850ЭР (320_438).xlsx	68.04.03.03.00	Пружина спиральная
Д-16.850ЭР (320_438).xlsx	68.04.03.02.00	Щетка  электрическая
Д-16.850ЭР (320_438).xlsx	68.04.03.04.00	Пружина фиксатор
Д-16.850ЭР (320_438).xlsx	68.04.03.05.00	Упор переключателя реверса
Д-16.850ЭР (320_438).xlsx	00.10.01.01.29	Выключатель
Д-16.850ЭР (320_438).xlsx	00.10.05.01.05	Блок конденсаторный
Д-16.850ЭР (320_438).xlsx	68.04.00.05.00	Дроссель
Д-16.850ЭР (320_438).xlsx	68.04.00.04.00	Планка фиксации шнура
